task_id,answer,correct_answer
1363,contrast,contrast
1364,contrast,joint
1365,condition,condition
1366,condition,elaboration
1367,evaluation,condition
1368,attribution,attribution
1369,elaboration,elaboration
1370,restatement,elaboration
1371,restatement,restatement
1372,elaboration,elaboration
1373,contrast,contrast
1374,evaluation,sequence
1375,evidence,background
1376,contrast,contrast
1377,condition,condition
1378,effect,joint
1379,cause-effect,cause
1380,effect,cause
1381,elaboration,condition
1382,joint,joint
1383,joint,joint
1384,preparation,elaboration
1385,restatement,sequence
1386,cause-effect,elaboration
1387,joint,joint
1388,contrast,comparison
1389,evidence,joint
1390,motivation,background
1391,elaboration,purpose
1392,elaboration,sequence
1393,solutionhood,joint
1394,evaluation,evaluation
1395,condition,evidence
1396,joint,joint
1397,comparison,comparison
1398,joint,joint
1399,elaboration,elaboration
1400,condition,solutionhood
1401,comparison,evidence
1402,elaboration,elaboration
1403,elaboration,evidence
1404,joint,joint
1405,cause-effect,background
1406,elaboration,elaboration
1407,elaboration,elaboration
1408,background,cause-effect
1409,contrast,contrast
1410,restatement,preparation
1411,evidence,evidence
1412,motivation,contrast
1413,cause,cause
1414,joint,joint
1415,attribution,attribution
1416,contrast,elaboration
1417,concession,concession
1418,contrast,evidence
1419,elaboration,elaboration
1420,elaboration,elaboration
1421,contrast,preparation
1422,contrast,contrast
1423,condition,condition
1424,evidence,cause
1425,contrast,contrast
1426,interpretation-evaluation,attribution
1427,background,contrast
1428,contrast,elaboration
1429,cause,elaboration
1430,cause-effect,cause-effect
1431,contrast,contrast
1432,cause,joint
1433,evidence,evidence
1434,cause,elaboration
1435,sequence,elaboration
1436,background,elaboration
1437,condition,condition
1438,cause-effect,elaboration
1439,evidence,joint
1440,effect,condition
1441,concession,evidence
1442,concession,concession
